text,score
我覺得壓力很大，喘不過氣,1
心情很糟糕,1
喘不過氣,1
對未來感到很迷茫，不知道該怎麼辦,2
好焦慮,2
難道我這麼做都是錯的嗎?,2
心情很不錯,4
今天過的很美好,5
愛自己比愛別人更重要,4
今天和朋友去爬山，心情放鬆了很多,4
最近常失眠，半夜醒來腦中一直想事情,2
順利完成專案了，很有成就感,5
覺得自己做什麼都做不好，很挫折,1
今天陽光很好，喝了杯咖啡覺得很舒服,4
胸口悶悶的，好像有一塊大石頭壓著,2
謝謝家人今天準備的晚餐，心裡暖暖的,4
每天都覺得好累，提不起勁做任何事,1
週末在家看了一本好書，收穫很多,4
大家是不是都在背後笑我、孤立我,1
今天心情普通，就是很平淡的過了一天,3
腦袋一直轉個不停，根本沒辦法專心,2
運動過後流了汗，整個人神清氣爽,4
覺得活著好累，不知道意義在哪裡,1
今天晚餐吃了想很久的火鍋，好幸福,5
一想到明天要上班就開始心跳加速、胃痛,2
跟久違的老朋友通電話，聊得很開心,4
為什麼每個人都對我有這麼高的期待，我快崩潰了,1
今天早起去散步，看到了很漂亮的日出,4
照鏡子時覺得自己好糟，討厭這樣的自己,1
把房間打掃乾淨了，看了心情就很好,4
覺得孤立無援，沒有人能理解我的痛苦,1
今天工作很順利，提早下班了,4
突然一陣恐慌襲來，手心一直冒汗,1
聽著喜歡的音樂，心情平靜了下來,3
覺得自己是個累贅，只會帶給別人麻煩,1
今天學會了一個新的程式技能，很有收穫,4
情緒突然潰堤，在房間哭了好久,1
下午去公園餵了流浪貓，被療癒了,4
對週遭的事物都失去興趣了，麻木的感覺,1
今天晚餐表現得不錯，家人都說好吃,4
感覺自己隨時會窒息，壓力大到極點,1
陽光灑進房間的感覺真好，充滿希望,4
總是擔心會發生最壞的結果，停不下來,2
今天完成了計畫表上的所有待辦事項,4
覺得自己被世界遺棄了，黑洞好深,1
泡了個熱水澡，肌肉放鬆了不少,4
腦海中一直浮現負面的想法，揮之不去,2
連簡單的起床刷牙都覺得花光了力氣,1
和同事聊天解開了誤會，鬆了一大口氣,4
覺得自己的人生是一場徹底的失敗,1
今天嘗試了新的烘焙食譜，非常成功,5
心裡有說不出的苦悶，卻不知道能跟誰說,2
今天過得平平安安，就是最幸福的事,3
主管今天當著大家的面指責我，我覺得自己好沒用,1
今天把想看的電影看完了，劇情真的很棒,4
每到晚上就開始焦慮，完全不知道明天該怎麼面對,2
週末和家人去郊外踏青，呼吸新鮮空氣感覺真好,4
覺得自己被邊緣化了，在團體中格格不入,2
今天喝到了喜歡的拿鐵，心情好了一整天,4
這陣子常常莫名其妙想哭，情緒很低落,2
順利解決了一個棘手的Bug，成就感滿滿,5
對未來感到極度恐慌，覺得自己甚麼都做不到,1
今天下班剛好看到很美的晚霞，拍了下來,4
失眠好幾天了，頭痛欲裂卻還是睡不著,2
把桌面整理得乾乾淨淨，心情也跟著清爽起來,4
覺得自己的人生徹底失敗，找不到任何出口,1
今天嘗試了一家新開的餐廳，意外的好吃,4
心裡悶得慌，好像有一塊大石頭怎麼都搬不開,2
今天早起去跑步，迎著微風覺得很舒服,4
每個人都在往前走，只有我還停在原地踏步,2
收到朋友從外地寄來的明信片，心裡暖暖的,4
我覺得自己快要得憂鬱症了，好痛苦,1
今天穿了新買的衣服出門，心情很愉快,4
腦袋一片空白，完全無法思考任何事情,2
和好久不見的朋友視訊聊天，笑得很開心,4
覺得自己是個不討人喜歡的人，大家都避開我,2
今天午餐吃了喜歡的壽司，覺得被療癒了,4
胸口好緊，感覺隨時會呼吸不過來,1
今天把房間徹底消毒打掃了一遍，很有成就感,4
每天醒來的第一個念頭就是今天好難熬,2
下午喝了杯熱可可，感覺整個人放鬆了,4
覺得自己活得好失敗，對不起身邊的人,1
今天準時下班回家追劇，享受了悠閒的夜晚,4
情緒失控對家人發脾氣，事後覺得好自責,2
今天學會了一項新的烹飪技巧，很有成就感,4
總覺得自己無論怎麼努力都達不到別人的標準,2
今天陽光普照，出門散步心情變得很好,4
心裡有說不出的孤獨感，彷彿被全世界遺忘,1
今天完成了拖延很久的行政手續，一身輕巧,4
覺得自己每天都在假裝堅強，其實快撐不下去了,2
今天收到了一封鼓勵的訊息，覺得很溫暖,4
負面情緒像浪潮一樣湧上來，快要把我淹沒了,1
今天跟貓咪玩了好久，心情被治癒了,4
對所有事情都失去熱情，活著像具行屍走肉,1
今天晚餐自己煮了番茄蛋花湯，非常成功,4
覺得自己的人生是一場悲劇，怎麼走都是死胡同,1
今天去圖書館安安靜靜地看了一本書，很充實,4
好想逃離現在的生活環境，去一個沒有人認識我的地方,2
今天跟同事去吃下午茶，聊得很開心,4
每天都好焦慮，不知道這種日子還要過多久,2
今天早睡早起，精神狀況比平常好很多,4
覺得自己的人生毫無價值，像個廢物一樣,1
今天看了一場精彩的球賽，心情非常亢奮,5
每次要上台報告手心就抖個不停，聲音都在發抖,2
今天把陽台的植物澆了水，看到新長出的嫩葉很開心,4
感覺自己被夾在主管跟客戶中間，兩面不是人好疲憊,2
今天晚餐自己捏了飯糰，形狀雖然不好看但很好吃,4
晚上躺在床上腦子一直轉，回想自己今天是不是說錯話了,2
今天收到網購的衣服，穿起來比想像中好看,4
覺得大家都在看我的笑話，好想找個洞鑽進去,2
下午泡了一壺熱茶，在窗邊看雨覺得很愜意,4
每次看到別人過得那麼光鮮亮麗，就覺得自己好悲慘,2
今天把車子拿去洗乾淨了，亮晶晶的看了心情真好,4
連續好幾天都做惡夢，醒來心神不寧的,2
今天去超商買到了最後一個想吃很久的御飯糰,4
覺得自己被世界孤立了，連手機響了都會恐慌,1
今天跟好久不見的鄰居打招呼，互相寒暄了幾句,3
對未來一點目標也沒有，每天都在浪費時間,2
今天把筆電的舊檔案都清理乾淨了，容量釋放出來好舒服,4
只要聽到電話鈴聲或訊息通知就會莫名心跳加速,2
今天陽光很好，把被單拿去曬太陽，晚上有太陽的味道,4
覺得自己快要被龐大的生活開銷壓垮了,2
